Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,SOUTHWEST,80,ALEXANDER,3,47.6
2018,ILLINOIS,17,NORTHEAST,20,COOK,31,49.4
2018,ILLINOIS,17,NORTHEAST,20,DU PAGE,43,49.4
2018,ILLINOIS,17,WEST SOUTHWEST,60,JERSEY,83,67.2
2018,ILLINOIS,17,NORTHWEST,10,JO DAVIESS,85,60.7
2018,ILLINOIS,17,SOUTHWEST,80,JOHNSON,87,47.6
2018,ILLINOIS,17,CENTRAL,40,MASON,125,65.1
2018,ILLINOIS,17,SOUTHEAST,90,MASSAC,127,51
2018,ILLINOIS,17,SOUTHEAST,90,POPE,151,51
2018,ILLINOIS,17,NORTHWEST,10,PUTNAM,155,60.7
2018,ILLINOIS,17,WEST SOUTHWEST,60,SCOTT,171,67.2
2018,ILLINOIS,17,CENTRAL,40,STARK,175,65.1
2018,ILLINOIS,17,SOUTHWEST,80,UNION,181,47.6
2018,ILLINOIS,17,SOUTHEAST,90,WABASH,185,51
2018,INDIANA,18,NORTHEAST,30,ADAMS,1,61.8
2018,INDIANA,18,NORTHEAST,30,ALLEN,3,59.6
2018,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,56.5
2018,INDIANA,18,NORTHWEST,10,BENTON,7,67.5
2018,INDIANA,18,EAST CENTRAL,60,BLACKFORD,9,58.3
2018,INDIANA,18,CENTRAL,50,BOONE,11,62.2
2018,INDIANA,18,NORTH CENTRAL,20,CARROLL,15,65
2018,INDIANA,18,NORTH CENTRAL,20,CASS,17,62.8
2018,INDIANA,18,SOUTHEAST,90,CLARK,19,50.7
2018,INDIANA,18,WEST CENTRAL,40,CLAY,21,53.7
2018,INDIANA,18,CENTRAL,50,CLINTON,23,66.3
2018,INDIANA,18,SOUTH CENTRAL,80,CRAWFORD,25,48.7
2018,INDIANA,18,SOUTHWEST,70,DAVIESS,27,55.2
2018,INDIANA,18,SOUTHEAST,90,DEARBORN,29,55.1
2018,INDIANA,18,CENTRAL,50,DECATUR,31,63.9
2018,INDIANA,18,NORTHEAST,30,DE KALB,33,50.5
2018,INDIANA,18,EAST CENTRAL,60,DELAWARE,35,58
2018,INDIANA,18,SOUTHWEST,70,DUBOIS,37,59.9
2018,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,58.5
2018,INDIANA,18,EAST CENTRAL,60,FAYETTE,41,57.9
2018,INDIANA,18,SOUTHEAST,90,FRANKLIN,47,60
2018,INDIANA,18,NORTH CENTRAL,20,FULTON,49,58.5
2018,INDIANA,18,SOUTHWEST,70,GIBSON,51,57.3
2018,INDIANA,18,CENTRAL,50,GRANT,53,60.4
2018,INDIANA,18,SOUTHWEST,70,GREENE,55,54.1
2018,INDIANA,18,CENTRAL,50,HAMILTON,57,63.8
2018,INDIANA,18,CENTRAL,50,HANCOCK,59,58.1
2018,INDIANA,18,SOUTH CENTRAL,80,HARRISON,61,52.5
2018,INDIANA,18,CENTRAL,50,HENDRICKS,63,61.2
2018,INDIANA,18,EAST CENTRAL,60,HENRY,65,57.9
2018,INDIANA,18,CENTRAL,50,HOWARD,67,63.6
2018,INDIANA,18,NORTHEAST,30,HUNTINGTON,69,59.8
2018,INDIANA,18,SOUTH CENTRAL,80,JACKSON,71,52.1
2018,INDIANA,18,NORTHWEST,10,JASPER,73,57.7
2018,INDIANA,18,EAST CENTRAL,60,JAY,75,60.5
2018,INDIANA,18,SOUTHEAST,90,JEFFERSON,77,49.1
