Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,NORTHEAST,20,DU PAGE,43,148.4
2018,ILLINOIS,17,EAST SOUTHEAST,70,FAYETTE,51,215.7
2018,ILLINOIS,17,SOUTHEAST,90,HARDIN,69,154.7
2018,ILLINOIS,17,WEST SOUTHWEST,60,JERSEY,83,198.1
2018,ILLINOIS,17,SOUTHWEST,80,JOHNSON,87,168.8
2018,ILLINOIS,17,NORTHEAST,20,LAKE,97,148.4
2018,ILLINOIS,17,CENTRAL,40,MASON,125,209
2018,ILLINOIS,17,SOUTHEAST,90,MASSAC,127,154.7
2018,ILLINOIS,17,CENTRAL,40,MENARD,129,209
2018,ILLINOIS,17,SOUTHEAST,90,POPE,151,154.7
2018,ILLINOIS,17,SOUTHWEST,80,PULASKI,153,168.8
2018,ILLINOIS,17,WEST SOUTHWEST,60,SCOTT,171,198.1
2018,ILLINOIS,17,SOUTHWEST,80,UNION,181,168.8
2018,ILLINOIS,17,SOUTHEAST,90,WABASH,185,154.7
2018,INDIANA,18,NORTHEAST,30,ADAMS,1,194.6
2018,INDIANA,18,NORTHEAST,30,ALLEN,3,181.9
2018,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,189.5
2018,INDIANA,18,NORTHWEST,10,BENTON,7,201.7
2018,INDIANA,18,EAST CENTRAL,60,BLACKFORD,9,200.7
2018,INDIANA,18,CENTRAL,50,BOONE,11,198.9
2018,INDIANA,18,NORTH CENTRAL,20,CARROLL,15,204.7
2018,INDIANA,18,NORTH CENTRAL,20,CASS,17,195.5
2018,INDIANA,18,SOUTHEAST,90,CLARK,19,179.2
2018,INDIANA,18,WEST CENTRAL,40,CLAY,21,182
2018,INDIANA,18,CENTRAL,50,CLINTON,23,213.7
2018,INDIANA,18,SOUTHWEST,70,DAVIESS,27,195.5
2018,INDIANA,18,SOUTHEAST,90,DEARBORN,29,176.9
2018,INDIANA,18,CENTRAL,50,DECATUR,31,206.8
2018,INDIANA,18,NORTHEAST,30,DE KALB,33,159.5
2018,INDIANA,18,EAST CENTRAL,60,DELAWARE,35,209.1
2018,INDIANA,18,SOUTHWEST,70,DUBOIS,37,187
2018,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,173.2
2018,INDIANA,18,EAST CENTRAL,60,FAYETTE,41,198.4
2018,INDIANA,18,SOUTHEAST,90,FRANKLIN,47,185.9
2018,INDIANA,18,NORTH CENTRAL,20,FULTON,49,187.5
2018,INDIANA,18,SOUTHWEST,70,GIBSON,51,184
2018,INDIANA,18,CENTRAL,50,GRANT,53,204.3
2018,INDIANA,18,SOUTHWEST,70,GREENE,55,178.9
2018,INDIANA,18,CENTRAL,50,HAMILTON,57,175.1
2018,INDIANA,18,CENTRAL,50,HANCOCK,59,188
2018,INDIANA,18,SOUTH CENTRAL,80,HARRISON,61,188.1
2018,INDIANA,18,CENTRAL,50,HENDRICKS,63,207.2
2018,INDIANA,18,EAST CENTRAL,60,HENRY,65,198.5
2018,INDIANA,18,CENTRAL,50,HOWARD,67,215.6
2018,INDIANA,18,NORTHEAST,30,HUNTINGTON,69,183
2018,INDIANA,18,SOUTH CENTRAL,80,JACKSON,71,173.9
2018,INDIANA,18,NORTHWEST,10,JASPER,73,164.5
2018,INDIANA,18,EAST CENTRAL,60,JAY,75,186.1
2018,INDIANA,18,SOUTHEAST,90,JEFFERSON,77,183
2018,INDIANA,18,SOUTHEAST,90,JENNINGS,79,181.8
2018,INDIANA,18,SOUTHWEST,70,KNOX,83,179
2018,INDIANA,18,NORTH CENTRAL,20,KOSCIUSKO,85,180.2
2018,INDIANA,18,NORTHEAST,30,LAGRANGE,87,142.1
2018,INDIANA,18,NORTHWEST,10,LA PORTE,91,159.3
2018,INDIANA,18,SOUTH CENTRAL,80,LAWRENCE,93,192
2018,INDIANA,18,CENTRAL,50,MADISON,95,205
2018,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,176.1
2018,INDIANA,18,SOUTHWEST,70,MARTIN,101,181.5
2018,INDIANA,18,NORTH CENTRAL,20,MIAMI,103,191.5
2018,INDIANA,18,SOUTH CENTRAL,80,MONROE,105,179.7
2018,INDIANA,18,CENTRAL,50,MORGAN,109,197
2018,INDIANA,18,NORTHWEST,10,NEWTON,111,200
2018,INDIANA,18,NORTHEAST,30,NOBLE,113,169.5
2018,INDIANA,18,SOUTHEAST,90,OHIO,115,180
2018,INDIANA,18,SOUTH CENTRAL,80,ORANGE,117,205.7
2018,INDIANA,18,WEST CENTRAL,40,OWEN,119,173.3
2018,INDIANA,18,WEST CENTRAL,40,PARKE,121,192
2018,INDIANA,18,NORTHWEST,10,PORTER,127,182.8
2018,INDIANA,18,SOUTHWEST,70,POSEY,129,182.4
2018,INDIANA,18,NORTHWEST,10,PULASKI,131,169.4
2018,INDIANA,18,WEST CENTRAL,40,PUTNAM,133,196.9
2018,INDIANA,18,EAST CENTRAL,60,RANDOLPH,135,185.1
2018,INDIANA,18,SOUTHEAST,90,RIPLEY,137,182.3
2018,INDIANA,18,CENTRAL,50,RUSH,139,203.9
2018,INDIANA,18,NORTH CENTRAL,20,ST. JOSEPH,141,164.2
2018,INDIANA,18,SOUTHEAST,90,SCOTT,143,179.8
2018,INDIANA,18,CENTRAL,50,SHELBY,145,194.4
2018,INDIANA,18,NORTHEAST,30,STEUBEN,151,148.7
2018,INDIANA,18,SOUTHWEST,70,SULLIVAN,153,187.3
2018,INDIANA,18,SOUTHEAST,90,SWITZERLAND,155,178
2018,INDIANA,18,WEST CENTRAL,40,TIPPECANOE,157,201.1
2018,INDIANA,18,CENTRAL,50,TIPTON,159,214.9
2018,INDIANA,18,EAST CENTRAL,60,UNION,161,203.9
2018,INDIANA,18,SOUTHWEST,70,VANDERBURGH,163,179.6
2018,INDIANA,18,WEST CENTRAL,40,VERMILLION,165,197.8
2018,INDIANA,18,WEST CENTRAL,40,VIGO,167,176.3
2018,INDIANA,18,NORTH CENTRAL,20,WABASH,169,201.4
2018,INDIANA,18,WEST CENTRAL,40,WARREN,171,206.3
2018,INDIANA,18,SOUTHWEST,70,WARRICK,173,160.2
2018,INDIANA,18,SOUTH CENTRAL,80,WASHINGTON,175,184.2
2018,INDIANA,18,EAST CENTRAL,60,WAYNE,177,192.8
2018,INDIANA,18,NORTHEAST,30,WELLS,179,204.1
2018,INDIANA,18,NORTHWEST,10,WHITE,181,197.7
2018,INDIANA,18,NORTHEAST,30,WHITLEY,183,180.7
2018,INDIANA,18,SOUTH CENTRAL,80,BROWN,13,170
2018,INDIANA,18,SOUTH CENTRAL,80,CRAWFORD,25,170
2018,INDIANA,18,SOUTH CENTRAL,80,FLOYD,43,170
2018,INDIANA,18,WEST CENTRAL,40,FOUNTAIN,45,204.2
2018,INDIANA,18,CENTRAL,50,JOHNSON,81,193.1
2018,INDIANA,18,NORTHWEST,10,LAKE,89,165.7
2018,INDIANA,18,CENTRAL,50,MARION,97,193.1
2018,INDIANA,18,WEST CENTRAL,40,MONTGOMERY,107,204.2
2018,INDIANA,18,SOUTH CENTRAL,80,PERRY,123,170
2018,INDIANA,18,SOUTHWEST,70,PIKE,125,177.3
2018,INDIANA,18,SOUTHWEST,70,SPENCER,147,177.3
2018,INDIANA,18,NORTHWEST,10,STARKE,149,165.7
2018,IOWA,19,SOUTHWEST,70,ADAIR,1,149.4
2018,IOWA,19,SOUTHWEST,70,ADAMS,3,171.5
2018,IOWA,19,NORTHEAST,30,ALLAMAKEE,5,198.4
2018,IOWA,19,WEST CENTRAL,40,AUDUBON,9,179.4
2018,IOWA,19,EAST CENTRAL,60,BENTON,11,214.5
2018,IOWA,19,NORTHEAST,30,BLACK HAWK,13,206.3
2018,IOWA,19,CENTRAL,50,BOONE,15,193.7
2018,IOWA,19,NORTHEAST,30,BREMER,17,212.4
2018,IOWA,19,NORTHEAST,30,BUCHANAN,19,207.1
2018,IOWA,19,NORTHWEST,10,BUENA VISTA,21,193.1
2018,IOWA,19,NORTH CENTRAL,20,BUTLER,23,211.3
2018,IOWA,19,WEST CENTRAL,40,CALHOUN,25,193.3
2018,IOWA,19,WEST CENTRAL,40,CARROLL,27,208.5
2018,IOWA,19,SOUTHWEST,70,CASS,29,169.7
2018,IOWA,19,EAST CENTRAL,60,CEDAR,31,222.2
2018,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,184.3
2018,IOWA,19,NORTHWEST,10,CHEROKEE,35,213.4
2018,IOWA,19,NORTHEAST,30,CHICKASAW,37,193
2018,IOWA,19,SOUTH CENTRAL,80,CLARKE,39,161.9
2018,IOWA,19,NORTHWEST,10,CLAY,41,158.7
2018,IOWA,19,NORTHEAST,30,CLAYTON,43,201.6
2018,IOWA,19,EAST CENTRAL,60,CLINTON,45,210.8
2018,IOWA,19,WEST CENTRAL,40,CRAWFORD,47,214.1
2018,IOWA,19,CENTRAL,50,DALLAS,49,174
2018,IOWA,19,SOUTH CENTRAL,80,DECATUR,53,172.6
2018,IOWA,19,NORTHEAST,30,DELAWARE,55,224.8
2018,IOWA,19,SOUTHEAST,90,DES MOINES,57,195.6
2018,IOWA,19,NORTHWEST,10,DICKINSON,59,160.4
2018,IOWA,19,NORTHEAST,30,DUBUQUE,61,211.9
2018,IOWA,19,NORTHWEST,10,EMMET,63,155.8
