Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
2018,ILLINOIS,17,WEST,30,KNOX,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,LAKE,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,LA SALLE,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHWEST,10,LEE,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST,50,LIVINGSTON,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,CENTRAL,40,LOGAN,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST,30,MCDONOUGH,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,MCHENRY,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,CENTRAL,40,MCLEAN,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,CENTRAL,40,MACON,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,MACOUPIN,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,MARION,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,CENTRAL,40,MARSHALL,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,CENTRAL,40,MENARD,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHWEST,10,MERCER,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHWEST,80,MONROE,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,MONTGOMERY,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,MORGAN,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
