Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST SOUTHWEST,60,CALHOUN,13,32000.00
2018,ILLINOIS,17,NORTHEAST,20,COOK,31,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CUMBERLAND,35,32000.00
2018,ILLINOIS,17,NORTHEAST,20,DU PAGE,43,32000.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,FAYETTE,51,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,HARDIN,69,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,JERSEY,83,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,JOHNSON,87,32000.00
2018,ILLINOIS,17,NORTHEAST,20,LAKE,97,32000.00
2018,ILLINOIS,17,CENTRAL,40,MASON,125,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,MASSAC,127,32000.00
2018,ILLINOIS,17,CENTRAL,40,MENARD,129,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,POPE,151,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,PULASKI,153,32000.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,SCOTT,171,32000.00
2018,ILLINOIS,17,SOUTHWEST,80,UNION,181,32000.00
2018,ILLINOIS,17,SOUTHEAST,90,WABASH,185,32000.00
2018,INDIANA,18,NORTHEAST,30,ADAMS,1,30400.00
2018,INDIANA,18,NORTHEAST,30,ALLEN,3,30400.00
2018,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,30400.00
2018,INDIANA,18,NORTHWEST,10,BENTON,7,30400.00
2018,INDIANA,18,EAST CENTRAL,60,BLACKFORD,9,30400.00
2018,INDIANA,18,CENTRAL,50,BOONE,11,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,CARROLL,15,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,CASS,17,30400.00
2018,INDIANA,18,SOUTHEAST,90,CLARK,19,30400.00
2018,INDIANA,18,WEST CENTRAL,40,CLAY,21,30400.00
2018,INDIANA,18,CENTRAL,50,CLINTON,23,30400.00
2018,INDIANA,18,SOUTHWEST,70,DAVIESS,27,30400.00
2018,INDIANA,18,SOUTHEAST,90,DEARBORN,29,30400.00
2018,INDIANA,18,CENTRAL,50,DECATUR,31,30400.00
2018,INDIANA,18,NORTHEAST,30,DE KALB,33,30400.00
2018,INDIANA,18,EAST CENTRAL,60,DELAWARE,35,30400.00
2018,INDIANA,18,SOUTHWEST,70,DUBOIS,37,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,30400.00
2018,INDIANA,18,EAST CENTRAL,60,FAYETTE,41,30400.00
2018,INDIANA,18,SOUTHEAST,90,FRANKLIN,47,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,FULTON,49,30400.00
2018,INDIANA,18,SOUTHWEST,70,GIBSON,51,30400.00
2018,INDIANA,18,CENTRAL,50,GRANT,53,30400.00
2018,INDIANA,18,SOUTHWEST,70,GREENE,55,30400.00
2018,INDIANA,18,CENTRAL,50,HAMILTON,57,30400.00
2018,INDIANA,18,CENTRAL,50,HANCOCK,59,30400.00
