Year,Period(0),State ANSI,Value
2009,YEAR - AUG FORECAST,19,185
2009,YEAR - NOV FORECAST,17,175
2009,YEAR - NOV FORECAST,18,166
2009,YEAR - NOV FORECAST,19,183
2009,YEAR - OCT FORECAST,17,179
2009,YEAR - OCT FORECAST,18,166
2009,YEAR - OCT FORECAST,19,188
2009,YEAR - SEP FORECAST,17,179
2009,YEAR - SEP FORECAST,18,163
2009,YEAR - SEP FORECAST,19,187
2008,YEAR,17,179
2008,YEAR,18,160
2008,YEAR,19,171
2008,YEAR - AUG FORECAST,17,172
2008,YEAR - AUG FORECAST,18,164
2008,YEAR - AUG FORECAST,19,171
2008,YEAR - NOV FORECAST,17,179
2008,YEAR - NOV FORECAST,18,160
2008,YEAR - NOV FORECAST,19,172
2008,YEAR - OCT FORECAST,17,177
2008,YEAR - OCT FORECAST,18,160
2008,YEAR - OCT FORECAST,19,172
2008,YEAR - SEP FORECAST,17,172
2008,YEAR - SEP FORECAST,18,162
2008,YEAR - SEP FORECAST,19,168
2007,YEAR,17,175
2007,YEAR,18,154
2007,YEAR,19,171
2007,YEAR - AUG FORECAST,17,178
2007,YEAR - AUG FORECAST,18,157
2007,YEAR - AUG FORECAST,19,180
2007,YEAR - NOV FORECAST,17,178
2007,YEAR - NOV FORECAST,18,158
2007,YEAR - NOV FORECAST,19,175
2007,YEAR - OCT FORECAST,17,178
2007,YEAR - OCT FORECAST,18,158
2007,YEAR - OCT FORECAST,19,180
2007,YEAR - SEP FORECAST,17,180
2007,YEAR - SEP FORECAST,18,160
2007,YEAR - SEP FORECAST,19,182
2006,YEAR,17,163
2006,YEAR,18,157
2006,YEAR,19,166
2006,YEAR - AUG FORECAST,17,172
2006,YEAR - AUG FORECAST,18,167
2006,YEAR - AUG FORECAST,19,173
2006,YEAR - NOV FORECAST,17,165
2006,YEAR - NOV FORECAST,18,159
2006,YEAR - NOV FORECAST,19,163
2006,YEAR - OCT FORECAST,17,171
2006,YEAR - OCT FORECAST,18,165
2006,YEAR - OCT FORECAST,19,168
2006,YEAR - SEP FORECAST,17,174
2006,YEAR - SEP FORECAST,18,167
2006,YEAR - SEP FORECAST,19,174
2005,YEAR,17,143
2005,YEAR,18,154
2005,YEAR,19,173
2005,YEAR - AUG FORECAST,17,125
2005,YEAR - AUG FORECAST,18,145
2005,YEAR - AUG FORECAST,19,164
2005,YEAR - NOV FORECAST,17,145
2005,YEAR - NOV FORECAST,18,151
2005,YEAR - NOV FORECAST,19,175
2005,YEAR - OCT FORECAST,17,145
2005,YEAR - OCT FORECAST,18,149
2005,YEAR - OCT FORECAST,19,173
2005,YEAR - SEP FORECAST,17,136
2005,YEAR - SEP FORECAST,18,149
2005,YEAR - SEP FORECAST,19,169
2004,YEAR,17,180
2004,YEAR,18,168
2004,YEAR,19,181
2004,YEAR - AUG FORECAST,17,168
2004,YEAR - AUG FORECAST,18,156
2004,YEAR - AUG FORECAST,19,162
2004,YEAR - NOV FORECAST,17,180
2004,YEAR - NOV FORECAST,18,169
2004,YEAR - NOV FORECAST,19,183
2004,YEAR - OCT FORECAST,17,180
2004,YEAR - OCT FORECAST,18,167
2004,YEAR - OCT FORECAST,19,180
2004,YEAR - SEP FORECAST,17,170
2004,YEAR - SEP FORECAST,18,157
2004,YEAR - SEP FORECAST,19,163
2003,YEAR,17,164
2003,YEAR,18,146
2003,YEAR,19,157
2003,YEAR - AUG FORECAST,17,154
2003,YEAR - AUG FORECAST,18,144
2003,YEAR - AUG FORECAST,19,158
2003,YEAR - NOV FORECAST,17,169
2003,YEAR - NOV FORECAST,18,150
2003,YEAR - NOV FORECAST,19,159
2003,YEAR - OCT FORECAST,17,169
2003,YEAR - OCT FORECAST,18,148
2003,YEAR - OCT FORECAST,19,156
2003,YEAR - SEP FORECAST,17,154
2003,YEAR - SEP FORECAST,18,145
2003,YEAR - SEP FORECAST,19,154
2002,YEAR,17,135
2002,YEAR,18,121
2002,YEAR,19,163
2002,YEAR - AUG FORECAST,17,140
2002,YEAR - AUG FORECAST,18,124
2002,YEAR - AUG FORECAST,19,146
2002,YEAR - NOV FORECAST,17,138
2002,YEAR - NOV FORECAST,18,117
2002,YEAR - NOV FORECAST,19,160
2002,YEAR - OCT FORECAST,17,138
2002,YEAR - OCT FORECAST,18,117
2002,YEAR - OCT FORECAST,19,159
2002,YEAR - SEP FORECAST,17,140
2002,YEAR - SEP FORECAST,18,119
2002,YEAR - SEP FORECAST,19,149
2001,YEAR,17,152
2001,YEAR,18,156
2001,YEAR,19,146
2001,YEAR - AUG FORECAST,17,146
2001,YEAR - AUG FORECAST,18,147
2001,YEAR - AUG FORECAST,19,141
2001,YEAR - NOV FORECAST,17,150
2001,YEAR - NOV FORECAST,18,160
2001,YEAR - NOV FORECAST,19,147
2001,YEAR - OCT FORECAST,17,149
2001,YEAR - OCT FORECAST,18,160
2001,YEAR - OCT FORECAST,19,141
2001,YEAR - SEP FORECAST,17,146
2001,YEAR - SEP FORECAST,18,152
2001,YEAR - SEP FORECAST,19,138
2000,YEAR,17,151
2000,YEAR,18,146
2000,YEAR,19,144
2000,YEAR - AUG FORECAST,17,158
2000,YEAR - AUG FORECAST,18,155
2000,YEAR - AUG FORECAST,19,155
2000,YEAR - NOV FORECAST,17,153
2000,YEAR - NOV FORECAST,18,147
2000,YEAR - NOV FORECAST,19,146
2000,YEAR - OCT FORECAST,17,155
2000,YEAR - OCT FORECAST,18,151
2000,YEAR - OCT FORECAST,19,148
2000,YEAR - SEP FORECAST,17,158
2000,YEAR - SEP FORECAST,18,155
2000,YEAR - SEP FORECAST,19,155
1999,YEAR,17,140
1999,YEAR,18,132
1999,YEAR,19,149
1999,YEAR - AUG FORECAST,17,140
1999,YEAR - AUG FORECAST,18,130
1999,YEAR - AUG FORECAST,19,151
1999,YEAR - NOV FORECAST,17,146
1999,YEAR - NOV FORECAST,18,130
1999,YEAR - NOV FORECAST,19,149
1999,YEAR - OCT FORECAST,17,146
1999,YEAR - OCT FORECAST,18,128
1999,YEAR - OCT FORECAST,19,150
1999,YEAR - SEP FORECAST,17,140
1999,YEAR - SEP FORECAST,18,128
1999,YEAR - SEP FORECAST,19,151
1998,YEAR,17,141
1998,YEAR,18,137
1998,YEAR,19,145
1998,YEAR - AUG FORECAST,17,143
1998,YEAR - AUG FORECAST,18,136
1998,YEAR - AUG FORECAST,19,143
1998,YEAR - NOV FORECAST,17,143
1998,YEAR - NOV FORECAST,18,137
1998,YEAR - NOV FORECAST,19,145
1998,YEAR - OCT FORECAST,17,143
1998,YEAR - OCT FORECAST,18,137
1998,YEAR - OCT FORECAST,19,143
1998,YEAR - SEP FORECAST,17,145
1998,YEAR - SEP FORECAST,18,139
1998,YEAR - SEP FORECAST,19,143
1997,YEAR,17,129
1997,YEAR,18,122
1997,YEAR,19,138
1997,YEAR - AUG FORECAST,17,127
1997,YEAR - AUG FORECAST,18,127
1997,YEAR - AUG FORECAST,19,140
1997,YEAR - NOV FORECAST,17,127
1997,YEAR - NOV FORECAST,18,120
1997,YEAR - NOV FORECAST,19,140
1997,YEAR - OCT FORECAST,17,129
1997,YEAR - OCT FORECAST,18,120
1997,YEAR - OCT FORECAST,19,140
1997,YEAR - SEP FORECAST,17,127
1997,YEAR - SEP FORECAST,18,122
1997,YEAR - SEP FORECAST,19,140
1996,YEAR,17,136
1996,YEAR,18,123
1996,YEAR,19,138
1996,YEAR - AUG FORECAST,17,125
1996,YEAR - AUG FORECAST,18,118
1996,YEAR - AUG FORECAST,19,129
1996,YEAR - NOV FORECAST,17,137
1996,YEAR - NOV FORECAST,18,124
1996,YEAR - NOV FORECAST,19,140
1996,YEAR - OCT FORECAST,17,135
1996,YEAR - OCT FORECAST,18,120
1996,YEAR - OCT FORECAST,19,135
1996,YEAR - SEP FORECAST,17,129
1996,YEAR - SEP FORECAST,18,118
1996,YEAR - SEP FORECAST,19,131
1995,YEAR,17,113
1995,YEAR,18,113
1995,YEAR,19,123
1995,YEAR - AUG FORECAST,17,133
1995,YEAR - AUG FORECAST,18,135
1995,YEAR - AUG FORECAST,19,135
1995,YEAR - NOV FORECAST,17,113
1995,YEAR - NOV FORECAST,18,116
1995,YEAR - NOV FORECAST,19,121
1995,YEAR - OCT FORECAST,17,117
1995,YEAR - OCT FORECAST,18,119
1995,YEAR - OCT FORECAST,19,121
1995,YEAR - SEP FORECAST,17,126
1995,YEAR - SEP FORECAST,18,125
1995,YEAR - SEP FORECAST,19,125
1994,YEAR,17,156
1994,YEAR,18,144
1994,YEAR,19,152
1994,YEAR - AUG FORECAST,17,135
1994,YEAR - AUG FORECAST,18,132
1994,YEAR - AUG FORECAST,19,145
1994,YEAR - NOV FORECAST,17,155
1994,YEAR - NOV FORECAST,18,141
1994,YEAR - NOV FORECAST,19,152
1994,YEAR - OCT FORECAST,17,147
1994,YEAR - OCT FORECAST,18,137
1994,YEAR - OCT FORECAST,19,150
1994,YEAR - SEP FORECAST,17,138
1994,YEAR - SEP FORECAST,18,132
1994,YEAR - SEP FORECAST,19,145
1993,YEAR,17,130
1993,YEAR,18,132
1993,YEAR,19,80
1993,YEAR - AUG FORECAST,17,140
1993,YEAR - AUG FORECAST,18,140
1993,YEAR - AUG FORECAST,19,115
1993,YEAR - NOV FORECAST,17,129
1993,YEAR - NOV FORECAST,18,128
1993,YEAR - NOV FORECAST,19,85
1993,YEAR - OCT FORECAST,17,135
1993,YEAR - OCT FORECAST,18,133
1993,YEAR - OCT FORECAST,19,105
1993,YEAR - SEP FORECAST,17,140
1993,YEAR - SEP FORECAST,18,136
1993,YEAR - SEP FORECAST,19,112
1992,YEAR,17,149
1992,YEAR,18,147
