Year,Period(0),State ANSI,Value
1948,YEAR,19,60.5
1947,YEAR,17,39.5
1947,YEAR,18,43
1947,YEAR,19,31
1946,YEAR,17,56
1946,YEAR,18,51
1946,YEAR,19,57
1945,YEAR,17,46.5
1945,YEAR,18,53
1945,YEAR,19,44.5
1944,YEAR,17,45.4
1944,YEAR,18,40.1
1944,YEAR,19,52.5
1943,YEAR,17,50
1943,YEAR,18,49
1943,YEAR,19,55
1942,YEAR,17,54
1942,YEAR,18,54
1942,YEAR,19,60
1941,YEAR,17,53
1941,YEAR,18,45
1941,YEAR,19,51
1940,YEAR,17,43
1940,YEAR,18,37
1940,YEAR,19,52.5
1939,YEAR,17,51
1939,YEAR,18,50
1939,YEAR,19,52.2
1938,YEAR,17,44
1938,YEAR,18,41
1938,YEAR,19,46
1937,YEAR,17,48
1937,YEAR,18,45
1937,YEAR,19,45
1936,YEAR,17,24
1936,YEAR,18,25.6
1936,YEAR,19,20
1935,YEAR,17,38.5
1935,YEAR,18,38
1935,YEAR,19,38
1934,YEAR,17,22.1
1934,YEAR,18,27.6
1934,YEAR,19,28.2
1933,YEAR,17,27.5
1933,YEAR,18,29.5
1933,YEAR,19,40
1932,YEAR,17,43
1932,YEAR,18,37.5
1932,YEAR,19,43
1931,YEAR,17,37
1931,YEAR,18,39
1931,YEAR,19,32.9
1930,YEAR,17,27
1930,YEAR,18,28
1930,YEAR,19,34
1929,YEAR,17,35.5
1929,YEAR,18,31.3
1929,YEAR,19,40.2
1928,YEAR,17,38
1928,YEAR,18,35.2
1928,YEAR,19,41.5
1927,YEAR,17,32
1927,YEAR,18,31.5
1927,YEAR,19,35
1926,YEAR,17,36
1926,YEAR,18,38
1926,YEAR,19,39
1925,YEAR,17,41
1925,YEAR,18,42
1925,YEAR,19,43.9
1924,YEAR,17,33
1924,YEAR,18,28
1924,YEAR,19,28
1923,YEAR,17,37.5
1923,YEAR,18,38
1923,YEAR,19,40.5
1922,YEAR,17,35.5
1922,YEAR,18,36
1922,YEAR,19,45
1921,YEAR,17,35
1921,YEAR,18,36
1921,YEAR,19,43
1920,YEAR,17,35
1920,YEAR,18,39.5
1920,YEAR,19,46
1919,YEAR,17,36
1919,YEAR,18,35.6
1919,YEAR,19,41.6
1918,YEAR,17,36.5
1918,YEAR,18,35
1918,YEAR,19,37
1917,YEAR,17,40
1917,YEAR,18,35.5
1917,YEAR,19,38.5
1916,YEAR,17,31
1916,YEAR,18,32.5
1916,YEAR,19,38
1915,YEAR,17,38
1915,YEAR,18,38.5
1915,YEAR,19,32.5
1914,YEAR,17,31
1914,YEAR,18,33
1914,YEAR,19,40.5
1913,YEAR,17,28
1913,YEAR,18,35.5
1913,YEAR,19,37.5
1912,YEAR,17,40
1912,YEAR,18,39.5
1912,YEAR,19,46
1911,YEAR,17,36
1911,YEAR,18,34.5
1911,YEAR,19,35.5
1910,YEAR,17,41
1910,YEAR,18,39
1910,YEAR,19,41.5
1909,YEAR,17,38.8
1909,YEAR,18,39.9
1909,YEAR,19,37.1
1908,YEAR,17,35
1908,YEAR,18,30.5
1908,YEAR,19,38
1907,YEAR,17,39
1907,YEAR,18,36.5
1907,YEAR,19,35
1906,YEAR,17,39
1906,YEAR,18,41
1906,YEAR,19,45.5
1905,YEAR,17,42
1905,YEAR,18,42
1905,YEAR,19,41.5
1904,YEAR,17,39
1904,YEAR,18,33
1904,YEAR,19,39
1903,YEAR,17,35.5
1903,YEAR,18,35
1903,YEAR,19,32.5
1902,YEAR,17,41
1902,YEAR,18,39
1902,YEAR,19,38
1901,YEAR,17,24
1901,YEAR,18,22
1901,YEAR,19,28.5
1900,YEAR,17,40
1900,YEAR,18,41.5
1900,YEAR,19,45
1899,YEAR,17,38.8
1899,YEAR,18,39.8
1899,YEAR,19,39.1
1898,YEAR,17,31
1898,YEAR,18,38.5
1898,YEAR,19,36
1897,YEAR,17,34
1897,YEAR,18,30.5
1897,YEAR,19,33.5
1896,YEAR,17,42
1896,YEAR,18,39.5
1896,YEAR,19,43
1895,YEAR,17,41
1895,YEAR,18,36
1895,YEAR,19,39
1894,YEAR,17,31
1894,YEAR,18,30
1894,YEAR,19,15
1893,YEAR,17,26
1893,YEAR,18,24
1893,YEAR,19,37.5
1892,YEAR,17,27
1892,YEAR,18,31
1892,YEAR,19,30.5
1891,YEAR,17,38
1891,YEAR,18,36
1891,YEAR,19,40.5
1890,YEAR,17,28
1890,YEAR,18,25
1890,YEAR,19,28
1889,YEAR,17,36.8
1889,YEAR,18,30.4
1889,YEAR,19,41.3
1888,YEAR,17,40
1888,YEAR,18,37
1888,YEAR,19,39.5
1887,YEAR,17,21
1887,YEAR,18,22
1887,YEAR,19,30
1886,YEAR,17,27.8
1886,YEAR,18,34
1886,YEAR,19,29
1885,YEAR,17,34.5
1885,YEAR,18,36
1885,YEAR,19,36.5
1884,YEAR,17,33
1884,YEAR,18,31
1884,YEAR,19,39.5
1883,YEAR,17,27.3
1883,YEAR,18,29
1883,YEAR,19,29
1882,YEAR,17,25
1882,YEAR,18,34
1882,YEAR,19,30.5
1881,YEAR,17,21
1881,YEAR,18,22
1881,YEAR,19,30
1880,YEAR,17,31
1880,YEAR,18,25.5
1880,YEAR,19,39.5
1879,YEAR,17,36.1
1879,YEAR,18,31.4
1879,YEAR,19,41.6
1878,YEAR,17,29
1878,YEAR,18,32
1878,YEAR,19,40.5
1877,YEAR,17,27
1877,YEAR,18,35
1877,YEAR,19,33.5
1876,YEAR,17,30
1876,YEAR,18,35
1876,YEAR,19,34
1875,YEAR,17,34.3
1875,YEAR,18,32
1875,YEAR,19,35
1874,YEAR,17,24
1874,YEAR,18,34
1874,YEAR,19,34
1873,YEAR,17,21
1873,YEAR,18,30
1873,YEAR,19,32.5
1872,YEAR,17,39.8
1872,YEAR,18,38.5
1872,YEAR,19,41
1871,YEAR,17,33
1871,YEAR,18,35.5
1871,YEAR,19,43.5
1870,YEAR,17,40
1870,YEAR,18,39.5
1870,YEAR,19,40
1869,YEAR,17,23.5
1869,YEAR,18,25.5
1869,YEAR,19,33.5
1868,YEAR,17,34.2
1868,YEAR,18,34
1868,YEAR,19,40.5
1867,YEAR,17,27
1867,YEAR,18,29
1867,YEAR,19,41
1866,YEAR,17,29
1866,YEAR,18,36.5
1866,YEAR,19,32
