Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,ILLINOIS,17,WEST SOUTHWEST,60,CALHOUN,13,190000.00
2018,ILLINOIS,17,NORTHEAST,20,COOK,31,14300.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,CUMBERLAND,35,172200.00
2018,ILLINOIS,17,NORTHEAST,20,DU PAGE,43,14300.00
2018,ILLINOIS,17,EAST SOUTHEAST,70,FAYETTE,51,172200.00
2018,ILLINOIS,17,SOUTHEAST,90,HARDIN,69,77700.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,JERSEY,83,190000.00
2018,ILLINOIS,17,SOUTHWEST,80,JOHNSON,87,27100.00
2018,ILLINOIS,17,NORTHEAST,20,LAKE,97,14300.00
2018,ILLINOIS,17,CENTRAL,40,MASON,125,188800.00
2018,ILLINOIS,17,SOUTHEAST,90,MASSAC,127,77700.00
2018,ILLINOIS,17,CENTRAL,40,MENARD,129,188800.00
2018,ILLINOIS,17,SOUTHEAST,90,POPE,151,77700.00
2018,ILLINOIS,17,SOUTHWEST,80,PULASKI,153,27100.00
2018,ILLINOIS,17,WEST SOUTHWEST,60,SCOTT,171,190000.00
2018,ILLINOIS,17,SOUTHWEST,80,UNION,181,27100.00
2018,ILLINOIS,17,SOUTHEAST,90,WABASH,185,77700.00
2018,INDIANA,18,NORTHEAST,30,ADAMS,1,59000.00
2018,INDIANA,18,NORTHEAST,30,ALLEN,3,74000.00
2018,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,56000.00
2018,INDIANA,18,NORTHWEST,10,BENTON,7,120000.00
2018,INDIANA,18,EAST CENTRAL,60,BLACKFORD,9,29000.00
2018,INDIANA,18,CENTRAL,50,BOONE,11,94000.00
2018,INDIANA,18,NORTH CENTRAL,20,CARROLL,15,87000.00
2018,INDIANA,18,NORTH CENTRAL,20,CASS,17,93000.00
2018,INDIANA,18,SOUTHEAST,90,CLARK,19,16000.00
2018,INDIANA,18,WEST CENTRAL,40,CLAY,21,56000.00
2018,INDIANA,18,CENTRAL,50,CLINTON,23,103000.00
2018,INDIANA,18,SOUTHWEST,70,DAVIESS,27,81000.00
2018,INDIANA,18,SOUTHEAST,90,DEARBORN,29,6700.00
2018,INDIANA,18,CENTRAL,50,DECATUR,31,76000.00
2018,INDIANA,18,NORTHEAST,30,DE KALB,33,44000.00
2018,INDIANA,18,EAST CENTRAL,60,DELAWARE,35,62000.00
2018,INDIANA,18,SOUTHWEST,70,DUBOIS,37,50000.00
2018,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,54000.00
2018,INDIANA,18,EAST CENTRAL,60,FAYETTE,41,37000.00
2018,INDIANA,18,SOUTHEAST,90,FRANKLIN,47,36500.00
2018,INDIANA,18,NORTH CENTRAL,20,FULTON,49,93000.00
2018,INDIANA,18,SOUTHWEST,70,GIBSON,51,97000.00
2018,INDIANA,18,CENTRAL,50,GRANT,53,70000.00
2018,INDIANA,18,SOUTHWEST,70,GREENE,55,47000.00
2018,INDIANA,18,CENTRAL,50,HAMILTON,57,46000.00
2018,INDIANA,18,CENTRAL,50,HANCOCK,59,55000.00
2018,INDIANA,18,SOUTH CENTRAL,80,HARRISON,61,19000.00
2018,INDIANA,18,CENTRAL,50,HENDRICKS,63,64000.00
2018,INDIANA,18,EAST CENTRAL,60,HENRY,65,72000.00
2018,INDIANA,18,CENTRAL,50,HOWARD,67,62000.00
2018,INDIANA,18,NORTHEAST,30,HUNTINGTON,69,56000.00
2018,INDIANA,18,SOUTH CENTRAL,80,JACKSON,71,58500.00
2018,INDIANA,18,NORTHWEST,10,JASPER,73,155000.00
2018,INDIANA,18,EAST CENTRAL,60,JAY,75,73000.00
2018,INDIANA,18,SOUTHEAST,90,JEFFERSON,77,11500.00
2018,INDIANA,18,SOUTHEAST,90,JENNINGS,79,30000.00
2018,INDIANA,18,SOUTHWEST,70,KNOX,83,110000.00
2018,INDIANA,18,NORTH CENTRAL,20,KOSCIUSKO,85,102000.00
2018,INDIANA,18,NORTHEAST,30,LAGRANGE,87,44000.00
2018,INDIANA,18,NORTHWEST,10,LA PORTE,91,113000.00
2018,INDIANA,18,SOUTH CENTRAL,80,LAWRENCE,93,18000.00
2018,INDIANA,18,CENTRAL,50,MADISON,95,81000.00
2018,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,91000.00
2018,INDIANA,18,SOUTHWEST,70,MARTIN,101,18500.00
2018,INDIANA,18,NORTH CENTRAL,20,MIAMI,103,62000.00
2018,INDIANA,18,SOUTH CENTRAL,80,MONROE,105,6000.00
2018,INDIANA,18,CENTRAL,50,MORGAN,109,40000.00
2018,INDIANA,18,NORTHWEST,10,NEWTON,111,101000.00
2018,INDIANA,18,NORTHEAST,30,NOBLE,113,62000.00
2018,INDIANA,18,SOUTHEAST,90,OHIO,115,2600.00
2018,INDIANA,18,SOUTH CENTRAL,80,ORANGE,117,23000.00
2018,INDIANA,18,WEST CENTRAL,40,OWEN,119,23000.00
2018,INDIANA,18,WEST CENTRAL,40,PARKE,121,56000.00
2018,INDIANA,18,NORTHWEST,10,PORTER,127,59000.00
2018,INDIANA,18,SOUTHWEST,70,POSEY,129,80000.00
2018,INDIANA,18,NORTHWEST,10,PULASKI,131,101000.00
2018,INDIANA,18,WEST CENTRAL,40,PUTNAM,133,64000.00
2018,INDIANA,18,EAST CENTRAL,60,RANDOLPH,135,102000.00
2018,INDIANA,18,SOUTHEAST,90,RIPLEY,137,39000.00
2018,INDIANA,18,CENTRAL,50,RUSH,139,104000.00
2018,INDIANA,18,NORTH CENTRAL,20,ST. JOSEPH,141,70000.00
2018,INDIANA,18,SOUTHEAST,90,SCOTT,143,11500.00
2018,INDIANA,18,CENTRAL,50,SHELBY,145,89000.00
2018,INDIANA,18,NORTHEAST,30,STEUBEN,151,41000.00
2018,INDIANA,18,SOUTHWEST,70,SULLIVAN,153,60000.00
2018,INDIANA,18,SOUTHEAST,90,SWITZERLAND,155,6200.00
2018,INDIANA,18,WEST CENTRAL,40,TIPPECANOE,157,93000.00
2018,INDIANA,18,CENTRAL,50,TIPTON,159,66000.00
2018,INDIANA,18,EAST CENTRAL,60,UNION,161,31000.00
2018,INDIANA,18,SOUTHWEST,70,VANDERBURGH,163,29500.00
2018,INDIANA,18,WEST CENTRAL,40,VERMILLION,165,46000.00
2018,INDIANA,18,WEST CENTRAL,40,VIGO,167,47000.00
2018,INDIANA,18,NORTH CENTRAL,20,WABASH,169,73000.00
2018,INDIANA,18,WEST CENTRAL,40,WARREN,171,82000.00
2018,INDIANA,18,SOUTHWEST,70,WARRICK,173,32000.00
2018,INDIANA,18,SOUTH CENTRAL,80,WASHINGTON,175,37200.00
2018,INDIANA,18,EAST CENTRAL,60,WAYNE,177,62000.00
2018,INDIANA,18,NORTHEAST,30,WELLS,179,76000.00
2018,INDIANA,18,NORTHWEST,10,WHITE,181,134000.00
2018,INDIANA,18,NORTHEAST,30,WHITLEY,183,59000.00
2018,INDIANA,18,SOUTH CENTRAL,80,BROWN,13,20300.00
2018,INDIANA,18,SOUTH CENTRAL,80,CRAWFORD,25,20300.00
